Student_ID,Age,Gender,University_Year,Major,CGPA,Attendance_Percentage,Study_Hours_Per_Week,Projects_Completed,Certifications_Count,Internships,Communication_Skills,Teamwork,Problem_Solving,Interest_Domain,Skill_AWS,Skill_Adobe_XD,Skill_Agile,Skill_Ansible,Skill_Azure,Skill_CI_CD,Skill_Cybersecurity,Skill_Data_Analysis,Skill_Django,Skill_Docker,Skill_Elasticsearch,Skill_FastAPI,Skill_Figma,Skill_Flutter,Skill_GCP,Skill_Git,Skill_GraphQL,Skill_JavaScript,Skill_Kubernetes,Skill_Laravel,Skill_Linux,Skill_Machine_Learning,Skill_MongoDB,Skill_MySQL,Skill_Networking,Skill_Node.js,Skill_NumPy,Skill_PHP,Skill_Pandas,Skill_PostgreSQL,Skill_PyTorch,Skill_Python,Skill_REST_APIs,Skill_React,Skill_React_Native,Skill_Redis,Skill_SQL,Skill_Scrum,Skill_TensorFlow,Skill_Terraform,Skill_TypeScript,Career_Field,Total_Skills,Average_Skill_Level,Experience_Score,Soft_Skill_Score,Academic_Strength
SS00001,21,Male,Junior,Artificial Intelligence,2.74,93,24,11,0,0,10,3,4,Business & Analytics,1,3,3,5,0,2,0,6,3,0,2,1,2,1,1,2,2,0,2,2,4,2,1,10,0,4,8,0,9,7,1,0,3,0,0,1,6,2,1,4,3,Data Analyst,32,3.25,11,5.67,0.596
SS00002,18,Male,Freshman,Electrical Engineering,3.22,84,20,5,2,2,6,6,3,Data & AI,4,4,0,1,2,4,1,1,0,5,3,5,2,4,3,1,3,5,2,5,0,8,2,1,2,0,6,3,9,1,5,6,4,2,1,3,2,4,6,1,1,AI Engineer,37,3.3,9,5.0,0.586
SS00003,21,Male,Senior,Electrical Engineering,2.86,73,24,14,1,2,7,6,6,Software Development,1,2,9,0,2,6,6,0,0,2,0,0,2,5,2,7,3,8,2,0,3,3,0,0,4,3,0,1,2,3,4,7,9,4,2,0,5,3,0,2,8,Software Engineer,30,4.0,17,6.33,0.49
SS00004,21,Male,Senior,Software Engineering,3.11,90,28,9,1,1,7,8,4,Data & AI,3,4,0,2,0,0,4,1,4,8,7,2,0,2,0,4,2,2,2,3,1,8,4,1,0,1,8,2,8,5,7,5,4,2,4,4,0,5,8,1,2,Machine Learning Engineer,34,3.82,11,6.33,0.672
SS00005,23,Female,Freshman,Software Engineering,3.34,92,13,10,0,1,7,4,9,Web Development,3,0,4,1,4,1,1,0,0,3,0,0,0,3,5,6,0,6,2,3,6,2,9,1,2,6,0,1,1,1,1,4,10,6,1,3,10,2,4,5,7,Full Stack Developer,33,3.76,11,6.67,0.598
SS00006,23,Female,Junior,Information Technology,2.93,84,23,4,2,4,8,3,9,Cloud & Infrastructure,6,1,4,5,7,3,1,4,3,6,0,0,0,4,9,1,1,2,7,4,6,4,1,4,1,1,6,4,0,1,4,0,3,3,0,2,0,5,1,8,3,Cloud Engineer,34,3.68,10,6.67,0.563
SS00007,22,Female,Freshman,Software Engineering,3.05,88,24,6,2,2,7,9,6,Data & AI,1,0,5,3,3,3,3,4,1,4,0,2,0,4,0,3,1,2,1,2,1,6,0,5,3,2,5,1,5,1,5,9,0,0,0,0,1,2,6,0,0,AI Engineer,30,3.13,10,7.33,0.616
SS00008,21,Male,Senior,Computer Science,2.27,81,12,3,0,0,8,7,5,Systems & Networking,0,1,2,2,1,3,0,2,2,3,3,0,0,4,2,6,5,2,4,2,10,5,1,4,8,5,0,3,4,0,0,0,1,3,5,2,5,0,0,2,3,IT Support Engineer,31,3.39,3,6.67,0.342
SS00009,19,Female,Freshman,Information Technology,2.82,70,6,10,2,0,6,3,6,Data & AI,2,4,2,3,3,1,0,0,2,6,0,3,0,0,2,0,2,6,1,0,2,5,2,2,2,2,7,5,6,2,8,7,1,4,0,1,0,3,9,2,2,AI Engineer,32,3.41,12,5.0,0.315
SS00010,19,Male,Senior,Electrical Engineering,3.17,82,22,8,0,2,9,8,6,Cloud & Infrastructure,6,1,1,6,5,6,0,3,3,7,2,2,0,1,8,2,6,5,8,0,6,0,2,0,1,1,0,3,0,2,7,0,2,1,1,3,4,3,0,10,0,DevOps Engineer,31,3.81,10,7.67,0.582
