Career_Field,Related_Job_Title,Mapping_Type,Confidence,Notes
AI Engineer,Ai Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Biomedical Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Civil Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Cloud Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Core Network Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Devops Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Electrical Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Industrial Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Machine Learning Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Mechanical Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Mep Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Network Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Noc Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Plant Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Process Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Qa Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Rf Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Site Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Software Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Structural Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Telecom Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Transmission Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
AI Engineer,Voip Engineer,Text/Keyword Match,Strong,Exact normalized match: ['Ai Engineer']
