Skill,Category,Notes
Data Analysis,Matched Skill,Exact normalized match found in both datasets.
SQL,Matched Skill,Exact normalized match found in both datasets.
React,Matched Skill,Exact normalized match found in both datasets.
React Native,Matched Skill,Exact normalized match found in both datasets.
MySQL,Matched Skill,Exact normalized match found in both datasets.
NumPy,Matched Skill,Exact normalized match found in both datasets.
Python,Matched Skill,Exact normalized match found in both datasets.
AWS,Matched Skill,Exact normalized match found in both datasets.
FastAPI,Matched Skill,Exact normalized match found in both datasets.
Node.js,Matched Skill,Exact normalized match found in both datasets.
TypeScript,Matched Skill,Exact normalized match found in both datasets.
Pandas,Matched Skill,Exact normalized match found in both datasets.
Figma,Matched Skill,Exact normalized match found in both datasets.
Agile,Matched Skill,Exact normalized match found in both datasets.
Django,Matched Skill,Exact normalized match found in both datasets.
GCP,Matched Skill,Exact normalized match found in both datasets.
PHP,Matched Skill,Exact normalized match found in both datasets.
Scrum,Matched Skill,Exact normalized match found in both datasets.
Flutter,Matched Skill,Exact normalized match found in both datasets.
PyTorch,Matched Skill,Exact normalized match found in both datasets.
Cybersecurity,Matched Skill,Exact normalized match found in both datasets.
JavaScript,Matched Skill,Exact normalized match found in both datasets.
TensorFlow,Matched Skill,Exact normalized match found in both datasets.
PostgreSQL,Matched Skill,Exact normalized match found in both datasets.
Machine Learning,Matched Skill,Exact normalized match found in both datasets.
Laravel,Matched Skill,Exact normalized match found in both datasets.
GraphQL,Matched Skill,Exact normalized match found in both datasets.
Elasticsearch,Matched Skill,Exact normalized match found in both datasets.
Networking,Matched Skill,Exact normalized match found in both datasets.
Kubernetes,Matched Skill,Exact normalized match found in both datasets.
Terraform,Matched Skill,Exact normalized match found in both datasets.
REST APIs,Matched Skill,Exact normalized match found in both datasets.
Azure,Matched Skill,Exact normalized match found in both datasets.
Ansible,Matched Skill,Exact normalized match found in both datasets.
MongoDB,Matched Skill,Exact normalized match found in both datasets.
Adobe XD,Matched Skill,Exact normalized match found in both datasets.
Git,Matched Skill,Exact normalized match found in both datasets.
