Student_ID,Age,Gender,University_Year,Major,CGPA,Attendance_Percentage,Study_Hours_Per_Week,Projects_Completed,Certifications_Count,Internships,Communication_Skills,Teamwork,Problem_Solving,Interest_Domain,Skill_AWS,Skill_Adobe_XD,Skill_Agile,Skill_Ansible,Skill_Azure,Skill_CI_CD,Skill_Cybersecurity,Skill_Data_Analysis,Skill_Django,Skill_Docker,Skill_Elasticsearch,Skill_FastAPI,Skill_Figma,Skill_Flutter,Skill_GCP,Skill_Git,Skill_GraphQL,Skill_JavaScript,Skill_Kubernetes,Skill_Laravel,Skill_Linux,Skill_Machine_Learning,Skill_MongoDB,Skill_MySQL,Skill_Networking,Skill_Node.js,Skill_NumPy,Skill_PHP,Skill_Pandas,Skill_PostgreSQL,Skill_PyTorch,Skill_Python,Skill_REST_APIs,Skill_React,Skill_React_Native,Skill_Redis,Skill_SQL,Skill_Scrum,Skill_TensorFlow,Skill_Terraform,Skill_TypeScript,Career_Field
SS00001,21,Male,Junior,Artificial Intelligence,2.74,93,24,11,0,0,10,3,4,Business & Analytics,1,3,3,5,0,2,0,6,3,0,2,1,2,1,1,2,2,0,2,2,4,2,1,10,0,4,8,0,9,7,1,0,3,0,0,1,6,2,1,4,3,Data Analyst
SS00002,18,Male,Freshman,Electrical Engineering,3.22,84,20,5,2,2,6,6,3,Data & AI,4,4,0,1,2,4,1,1,0,5,3,5,2,4,3,1,3,5,2,5,0,8,2,1,2,0,6,3,9,1,5,6,4,2,1,3,2,4,6,1,1,AI Engineer
SS00003,21,Male,Senior,Electrical Engineering,2.86,73,24,14,1,2,7,6,6,Software Development,1,2,9,0,2,6,6,0,0,2,0,0,2,5,2,7,3,8,2,0,3,3,0,0,4,3,0,1,2,3,4,7,9,4,2,0,5,3,0,2,8,Software Engineer
SS00004,21,Male,Senior,Software Engineering,3.11,90,28,9,1,1,7,8,4,Data & AI,3,4,0,2,0,0,4,1,4,8,7,2,0,2,0,4,2,2,2,3,1,8,4,1,0,1,8,2,8,5,7,5,4,2,4,4,0,5,8,1,2,Machine Learning Engineer
SS00005,23,Female,Freshman,Software Engineering,3.34,92,13,10,0,1,7,4,9,Web Development,3,0,4,1,4,1,1,0,0,3,0,0,0,3,5,6,0,6,2,3,6,2,9,1,2,6,0,1,1,1,1,4,10,6,1,3,10,2,4,5,7,Full Stack Developer
SS00006,23,Female,Junior,Information Technology,2.93,84,23,4,2,4,8,3,9,Cloud & Infrastructure,6,1,4,5,7,3,1,4,3,6,0,0,0,4,9,1,1,2,7,4,6,4,1,4,1,1,6,4,0,1,4,0,3,3,0,2,0,5,1,8,3,Cloud Engineer
SS00007,22,Female,Freshman,Software Engineering,3.05,88,24,6,2,2,7,9,6,Data & AI,1,0,5,3,3,3,3,4,1,4,0,2,0,4,0,3,1,2,1,2,1,6,0,5,3,2,5,1,5,1,5,9,0,0,0,0,1,2,6,0,0,AI Engineer
SS00008,21,Male,Senior,Computer Science,2.27,81,12,3,0,0,8,7,5,Systems & Networking,0,1,2,2,1,3,0,2,2,3,3,0,0,4,2,6,5,2,4,2,10,5,1,4,8,5,0,3,4,0,0,0,1,3,5,2,5,0,0,2,3,IT Support Engineer
SS00009,19,Female,Freshman,Information Technology,2.82,70,6,10,2,0,6,3,6,Data & AI,2,4,2,3,3,1,0,0,2,6,0,3,0,0,2,0,2,6,1,0,2,5,2,2,2,2,7,5,6,2,8,7,1,4,0,1,0,3,9,2,2,AI Engineer
SS00010,19,Male,Senior,Electrical Engineering,3.17,82,22,8,0,2,9,8,6,Cloud & Infrastructure,6,1,1,6,5,6,0,3,3,7,2,2,0,1,8,2,6,5,8,0,6,0,2,0,1,1,0,3,0,2,7,0,2,1,1,3,4,3,0,10,0,DevOps Engineer
SS00011,22,Male,Junior,Cybersecurity,3.06,85,17,7,1,1,4,5,9,Business & Analytics,3,2,3,6,6,0,0,4,0,2,2,0,0,0,4,4,5,2,3,4,1,3,3,5,5,2,7,0,5,3,2,7,0,8,5,1,7,2,5,3,4,Data Analyst
SS00012,24,Female,Freshman,Computer Science,2.04,92,27,6,1,1,3,7,5,Business & Analytics,0,2,7,4,0,5,1,6,0,0,3,2,0,0,1,5,1,0,1,1,0,2,1,8,5,4,1,0,7,2,2,2,2,2,1,1,7,6,0,2,1,Business Analyst
SS00013,24,Male,Junior,Electrical Engineering,3.35,69,13,10,1,1,6,6,5,Business & Analytics,0,1,7,2,3,0,2,8,4,3,2,2,0,0,2,0,3,3,5,4,2,3,4,6,1,2,6,4,6,9,1,3,2,0,2,2,7,0,5,2,0,Data Analyst
SS00014,22,Male,Freshman,Business Analytics,3.17,68,22,10,2,2,8,8,7,Data & AI,5,4,0,0,1,2,3,6,2,0,1,0,0,0,0,4,0,7,3,2,0,8,1,2,7,2,9,0,7,5,6,10,3,1,3,4,8,0,6,1,2,Data Scientist
SS00015,22,Male,Sophomore,Artificial Intelligence,3.0,73,16,9,2,1,8,6,6,Systems & Networking,1,1,5,1,5,0,4,4,4,0,4,2,0,4,5,4,2,5,4,3,2,3,1,4,7,2,3,1,2,1,0,3,0,1,2,0,0,1,3,3,0,IT Support Engineer
SS00016,22,Female,Freshman,Data Science,3.3,90,26,7,1,1,9,7,6,Data & AI,1,1,1,0,3,4,2,1,0,6,7,4,0,2,1,3,3,4,0,2,0,5,4,0,0,2,8,0,1,0,9,7,4,0,0,3,2,2,8,3,3,Machine Learning Engineer
SS00017,19,Female,Junior,Artificial Intelligence,3.48,90,22,7,0,0,6,6,4,Business & Analytics,3,0,1,0,1,0,2,6,1,4,3,0,1,3,3,1,1,5,1,6,4,5,1,6,1,4,6,3,8,7,4,2,3,1,0,3,7,2,1,5,0,Data Analyst
SS00018,20,Female,Junior,Electrical Engineering,3.38,85,25,6,3,1,8,5,6,Cybersecurity,2,3,2,5,0,5,7,0,2,0,3,0,1,0,1,0,0,3,3,3,5,2,2,0,9,4,1,2,2,0,1,6,0,1,5,3,1,3,5,4,2,Penetration Tester
SS00019,18,Male,Senior,Software Engineering,3.82,90,21,6,2,0,5,7,6,Data & AI,0,4,1,8,1,0,1,0,3,6,4,1,5,3,2,5,4,8,1,2,5,4,4,3,0,0,6,0,6,3,6,9,5,4,2,0,0,2,5,2,5,AI Engineer
SS00020,22,Female,Sophomore,Electrical Engineering,4.0,81,21,5,0,1,8,5,7,Cybersecurity,4,1,0,1,5,4,6,1,1,6,3,3,4,2,1,1,2,2,3,2,8,2,2,0,8,2,4,0,6,2,4,5,3,0,1,6,1,2,4,3,2,Penetration Tester
SS00021,22,Female,Junior,Cybersecurity,2.61,77,11,9,1,1,6,5,7,Web Development,3,1,1,1,2,0,4,2,1,3,1,4,4,0,4,4,4,10,4,0,4,6,6,2,0,7,4,3,8,2,0,2,3,6,5,2,7,5,1,4,7,Full Stack Developer
SS00022,26,Male,Freshman,Business Analytics,2.78,98,30,6,2,0,6,5,5,Cloud & Infrastructure,1,2,0,7,2,8,2,5,2,6,2,3,2,2,0,6,0,5,0,0,0,4,1,4,0,2,0,6,0,2,3,7,1,2,2,2,4,10,1,0,2,Automation Engineer
SS00023,20,Male,Junior,Data Science,3.62,82,21,9,1,2,6,10,7,Software Development,4,1,1,2,0,3,5,4,6,0,0,5,2,2,4,4,4,3,1,0,4,1,7,3,0,6,4,3,3,5,1,6,7,2,2,7,6,1,0,0,0,Backend Developer
